iD	systemName	x	y	size	Owner String	Owner	Original Owner	Current Owner	Factories	World Type (Industrial)	World Type (Political)	SearchString1	SearchString2	Label	Fort 1 Count	Fort 1 Type	Fort 2 Count	Fort 2 Type	Fort 3 Count	Fort 3 Type	Fort 4 Count	Fort 4 Type	Fort 5 Count	Fort 5 Type	Fort String	Fort Supply	Training Center	RP
1	A Place	-123.764	272.182	1,1,0	LC,Tamar Pact,Tamar Domains	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	1	Standard-1	2	Capital-3	0	None	0	None	0	None	1 Standard-1, 2 Capital-3	18	No Center	2
2	Aalzorg	583.881	256.931	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
3	Abadan	-70.319	-95.949	1,1,0	FWL,Marik Commonwealth	FWL	Free Worlds League	Free Worlds League		Other	Other	Free Worlds LeagueOther	Free Worlds LeagueOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
4	Abagnar	380.231	314.823	1,1,0	DC,Pesht Military District,Ningxia Prefecture	DC	Draconis Combine	Draconis Combine		Other	Other	Draconis CombineOther	Draconis CombineOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
5	Abbadiyah	-317.967	246.551	1,1,0	LC,Protectorate of Donegal,Coventry Province	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
6	Abbeville	605.903	-39.852	1,1,0	FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
7	Abejorral	-299.341	127.388	1,1,0	LC,Protectorate of Donegal,Alarion Province	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
8	Aberystwyth	-430.967	58.633	1,1,0	LC,Protectorate of Donegal,Alarion Province	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
9	Abiy Adi	349.466	314.567	1,1,0	DC,Pesht Military District,Ningxia Prefecture	DC	Draconis Combine	Draconis Combine		Other	Other	Draconis CombineOther	Draconis CombineOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
10	Aboukir	-419.964	287.637	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
11	Abramkovo	-330.860	-28.739	1,1,0	LC,Protectorate of Donegal,Alarion Province	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
12	Abruzzi	149.392	-304.327	1,1,0	FS,Capellan March,Taygeta Operational Area,Sirdar PDZ	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
13	Abushiri	-267.585	326.475	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
